,Year,Match_ID,Phase,Phase_num,Group,Round,Round_selector,Home,Away,Result,Points_Home,Points_Away,Advances,n_Goals_Home,n_Goals_Away,Goals_Home,Goals_Away,n_Pens_Home,n_Pens_Away,Pens_Home,Pens_Away,Time,Date,Venue,City,Attendance,Referee,Possession_Home,Possession_Away,PassAcc_Home,PassAcc_Away,n_Passes_Attempt_Home,n_Passes_Attempt_Away,n_Passes_Compl_Home,n_Passes_Compl_Away,Distance_Home,Distance_Away,OnTarget_Home,OnTarget_Away,OffTarget_Home,OffTarget_Away,ShotsBlocked_Home,ShotsBlocked_Away,Corners_Home,Corners_Away,Offsides_Home,Offsides_Away,Blocks_Home,Blocks_Away,BallsRec_Home,BallsRec_Away,Tackles_Home,Tackles_Away,Fouls_Home,Fouls_Away,Yellow_Home,Yellow_Away,Red_Home,Red_Away,Result_bare,youtube_url,deadline,completed,match_time,kick_off_cest,,,,,,
6,2020,2020_Group_A_3_Italy_Wales,Group,1,A,3,Group match 3,Italy,Wales,Match 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00,20/06/2021,Stadio Olimpico,Rome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 20, 2021 16:00:00",20/06/2021 18:00,,,,,2020_Group_E_1_Spain_Sweden,14/06/2021 21:00
17,2020,2020_Group_C_3_NorthMacedonia_Netherlands,Group,1,C,3,Group match 3,North Macedonia,Netherlands,Match 29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00,21/06/2021,Johan Cruyff Arena,Amsterdam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 21, 2021 16:00:00",21/06/2021 18:00,,,,,2020_Group_E_2_Sweden_Slovakia,18/06/2021 15:00
18,2020,2020_Group_C_3_Ukraine_Austria,Group,1,C,3,Group match 3,Ukraine,Austria,Match 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (19:00 UTC+3),21/06/2021,Arena Na<U+021B>ionala,Bucharest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 21, 2021 16:00:00",21/06/2021 18:00,,,,,2020_Group_E_2_Spain_Poland,19/06/2021 21:00
11,2020,2020_Group_B_3_Russia_Denmark,Group,1,B,3,Group match 3,Russia,Denmark,Match 27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,21/06/2021,Parken Stadium,Copenhagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 21, 2021 19:00:00",21/06/2021 21:00,,,,,2020_Group_E_3_Slovakia_Spain,23/06/2021 18:00
12,2020,2020_Group_B_3_Finland_Belgium,Group,1,B,3,Group match 3,Finland,Belgium,Match 28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (22:00 UTC+3),21/06/2021,Krestovsky Stadium,Saint Petersburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 21, 2021 19:00:00",21/06/2021 21:00,,,,,2020_Group_E_3_Sweden_Poland,23/06/2021 18:00
23,2020,2020_Group_D_3_Croatia_Scotland,Group,1,D,3,Group match 3,Croatia,Scotland,Match 31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (20:00 UTC+1),22/06/2021,Hampden Park,Glasgow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 22, 2021 19:00:00",22/06/2021 21:00,,,,,2020_Group_F_1_Hungary_Portugal,15/06/2021 18:00
24,2020,2020_Group_D_3_CzechRepublic_England,Group,1,D,3,Group match 3,Czech Republic,England,Match 32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00 (20:00 UTC+1),22/06/2021,Wembley Stadium,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 22, 2021 19:00:00",22/06/2021 21:00,,,,,2020_Group_F_1_France_Germany,15/06/2021 21:00
29,2020,2020_Group_E_3_Slovakia_Spain,Group,1,E,3,Group match 3,Slovakia,Spain,Match 33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00,23/06/2021,La Cartuja,Seville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 23, 2021 16:00:00",23/06/2021 18:00,,,,,2020_Group_F_2_Hungary_France,19/06/2021 15:00
30,2020,2020_Group_E_3_Sweden_Poland,Group,1,E,3,Group match 3,Sweden,Poland,Match 34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18:00 (19:00 UTC+3),23/06/2021,Krestovsky Stadium,Saint Petersburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 23, 2021 16:00:00",23/06/2021 18:00,,,,,2020_Group_F_2_Portugal_Germany,19/06/2021 18:00
35,2020,2020_Group_F_3_Portugal_France,Group,1,F,3,Group match 3,Portugal,France,Match 35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21:00,23/06/2021,Puskás Aréna,Budapest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Match,6iFbuIpe68k,20/06/2021,,"June 23, 2021 19:00:00",23/06/2021 21:00,,,,,2020_Group_F_3_Portugal_France,23/06/2021 21:00
